id,name,code,description
1,Main Campus,CvSU-Main,NULL
3,Bacoor City Campus,CvSU-Bacoor,NULL
4,Carmona Campus,CvSU-Carmona,NULL
5,Cavite City Campus,CvSU-CCC,NULL
6,Dasmari̱as City Campus,CvSU-Dasma,NULL
7,General Trias City Campus,CvSU-Gen. Tri,NULL
8,Imus City Campus,CvSU-Imus,NULL
9,Naic Campus,CvSU-Naic,NULL
10,CCAT Campus,CvSU-CCAT,NULL
11,Silang Campus,CvSU-Silang,NULL
12,Tanza Campus,CvSU-Tanza,NULL
13,Trece Martires City Campus,CvSU-Trece,NULL
