id,title,code,description,lecture_units,laboratory_units,is_credit,created_at,updated_at
1219,Research Methods,BSAM195,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1220,Research Methods and Scientific Writings,VRES50,NULL,2,0,1,7/8/2024 16:27,7/8/2024 16:27
1221,Research Methods for Architecture,ARCH180,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1222,Research Methods in International Studies,ISEA30,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1223,Research/EDP Final Manuscript,BMGT200b,NULL,2,0,1,7/8/2024 16:27,7/8/2024 16:27
1224,Research/EDP Proposal,BMGT200a,NULL,1,0,1,7/8/2024 16:27,7/8/2024 16:27
1225,Retail Management,MKTG65,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1226,Retorika/Masining na Pagpapahayag,GNED13,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1227,Risk Assessment and Management,ISAD37,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1228,Risk Management,FMGT 105,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1229,"Risk Management as Applied to Safety, Security and Sanitation",BSHM55,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1230,"Risk, Disaster, and Humanitarian Communication",COMM90,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1231,Ruminant Medicine,VMED70,NULL,2,0,1,7/8/2024 16:27,7/8/2024 16:27
1232,Ruminant Production and Management,AEAP126,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1233,Ruminant Production and Health Management,ZOTC75,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1234,Rural Development,RUDM106,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1235,Sampling Theory,BSAM116,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1236,Sanaysay at Talumpati,BSEF35,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1237,School Food Service Management,HECO28,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1238,Science in Early Childhood Education,ECED33,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1239,"Science, Technology, and Society",GNED06,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1240,Society Automation and System Integration,ELEC2,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1241,Security and Critical Infrastructures,ISAD33,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1242,Semantics in English,ENLS70,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1243,Semiconductor Devices,ELEX65,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1244,Seminar,AEAP190,NULL,1,0,1,7/8/2024 16:27,7/8/2024 16:27
1245,Seminar I,MEDT27,NULL,1,0,1,7/8/2024 16:27,7/8/2024 16:27
1246,Seminar II,MEDT30,NULL,1,0,1,7/8/2024 16:27,7/8/2024 16:27
1247,Seminar A,AGSC190a,NULL,1,0,1,7/8/2024 16:27,7/8/2024 16:27
1248,Seminar B,AGSC190b,NULL,1,0,1,7/8/2024 16:27,7/8/2024 16:27
1249,Seminar in Applied Mathematics,BSAM190,NULL,1,0,1,7/8/2024 16:27,7/8/2024 16:27
1250,Seminar in Social Work Practice,SWRK155,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1251,Seminar on Journalism Issues,JOUR140,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1252,Seminars / Colloquia,EENG190,NULL,0,1,1,7/8/2024 16:27,7/8/2024 16:27
1253,Seminars and Fieldtrips,CPEN190,NULL,0,1,1,7/8/2024 16:27,7/8/2024 16:27
1254,Sensor and Interfacing,ELEX85,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1255,Sensory Evaluation,FTEC60,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1256,Service Culture,SMGT70,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1257,Service Marketing,SMGT 85,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1258,Signal and Communication System,ELEC75,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1259,"Signals, Spectra and Signal Processing",ECEN75,NULL,3,1,1,7/8/2024 16:27,7/8/2024 16:27
1260,Slaughter Animals and Processing,AGSC50,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1261,Slaughter of Animals and Processing,AGSC50,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1262,Small Animal Surgery,VSUR55,NULL,1,2,1,7/8/2024 16:27,7/8/2024 16:27
1263,Social and Professional Issues,DCIT65,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1264,Social Change and Development Perspectives,SWRK65,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1265,Social Deviations and Social Work,SWRK80,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1266,Social Environment and Social Work,SWRK85,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1267,Social Forestry and Community Organizing,ENSC100,NULL,2,0,1,7/8/2024 16:27,7/8/2024 16:27
1268,Social Media for Journalists,JOUR111,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1269,Social Psychology,BPSY110,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1270,Social Studies in Early Childhood Education,ECED31,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1271,Social Welfare Agency Administration,SWRK100,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1272,"Social Welfare Policies, Programs, and Services",SWRK95,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1273,Social Welfare Project/Program Development and Management,SWRK120,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1274,Social Work Communication and Documentation,SWRK75,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1275,Social Work Community Education and Training,SWRK130,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1276,Social Work Counselling,SWRK90,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1277,Social Work Practice with Communities,SWRK125,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1278,Social Work Practice with Groups,SWRK110,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1279,Social Work Practice with Individuals and Families,SWRK105,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1280,Social Work Research I,SWRK135,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1281,Social Work Research II,SWRK145,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1282,Social Work Statistics,SWRK115,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1283,Socio-Cultural Anthropology,BSESS33,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1284,Software Design,CPEN70,NULL,3,1,1,7/8/2024 16:27,7/8/2024 16:27
1285,Software Engineering I,COSC70,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1286,Software Engineering II,COSC75,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1287,"Soil Fertility, Conservation, and Management",SOIL2,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1288,Soil Science,SOIL1,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1289,Solar Electric Design and Installation,ELEC70,NULL,2,3,1,7/8/2024 16:27,7/8/2024 16:27
1290,Solid Mensuration,MATH9,NULL,2,0,1,7/8/2024 16:27,7/8/2024 16:27
1291,Special Penal Laws,CLAW4-A,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1292,Special Project,JOUR135,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1293,Special Topic I,ST1,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1294,Special Topic/Seminar,DMGT99,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1295,Special Topics,AEAP90,NULL,2,0,1,7/8/2024 16:27,7/8/2024 16:27
1296,Special Topics in English Language Studies,ENLS114,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1297,Special Topics in Financial Management,FMGT85,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1298,Special Topics in Human Resource Management,HRMT85,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1299,Special Topics in Marketing Management,MKTG85,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1300,Special Topics in Operations Management,OMGT85,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1301,Special Topics in Service Management,SMGT85,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1302,Specialized Crime Investigation II,CDIN3,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1303,Specialization I (Project Management),ARCH101,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1304,Specialization II (Construction Management),ARCH106,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1305,Specialization III (Facilities Management),ARCH111,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1306,Specialized Crime Investigation I with Legal Medicine,CDIN2,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1307,Speech and Theater Arts,BSEE30,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1308,Sports and Exercise Psychology,BPED80,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1309,Sports Ethics and Law,FASC120,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1310,Sports Journalism,JOUR116,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1311,Statics and Dynamics of Rigid Bodies,ENSC23,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1312,Statics of Rigid Bodies,ENGS21,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1313,Statistical Analysis I for IE,IENG50,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1314,Statistical Analysis II for IE,IENG65,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1315,Statistical Analysis with Software Application,STAT101,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1316,Statistical Biology,SBIO50,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1317,Statistical Theory,BSAM105,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1318,Statistics Applied to Food Research,STAT5,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1319,Statistics for Social Science,DMGT25,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1320,Statistics for Social Sciences,DVCM115,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1321,Steel and Timber Design,ARCH27,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1322,Strategic Business Analysis,MNGT23,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1323,Strategic Cost Management,ACTG26,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1324,Strategic Human Resource Management,HRMT 101,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1325,Strategic Management,BMGT30,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1326,Strategic management in Tourism and Hospitality,BSHM151,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1327,Strength and Conditioning,ELECTIVE,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1328,Strength of Materials,ENSC24a,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1329,Stress Management,ELECTIVE,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1330,Structural Theory,CENG75,NULL,3,1,1,7/8/2024 16:27,7/8/2024 16:27
1331,Structure of English,BSEE23,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1332,Stylistics,ENLS105,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1333,Stylistics and Discourse Analysis,BSEE110,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1334,Supervised Industrial Training I,AUTO199a,NULL,0,3,1,7/8/2024 16:27,7/8/2024 16:27
1335,Supervised Industrial Training II,AUTO199b,NULL,0,8,1,7/8/2024 16:27,7/8/2024 16:27
1336,Supervised Industrial Training 3,AUTO199c,NULL,0,8,1,7/8/2024 16:27,7/8/2024 16:27
1337,Supervised Work Experience in Government Agencies in Tourism and Hospitality,TOUR199-A,NULL,0,2,1,7/8/2024 16:27,7/8/2024 16:27
1338,Supervised Work Experience in Travel Services and Tour Operations,TOUR199-B,NULL,0,4,1,7/8/2024 16:27,7/8/2024 16:27
1339,Supply Chain Management,IENG135,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1340,Supply Chain/Logistics Purchasing Management,BSHM24,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1341,Survey of Afro-Asian Literature,BSEE35,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1342,Survey of English and American Literature,BSEE36,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1343,Survey of Philippine Literature in English,BSEE34,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1344,Surveying,ENSC25,NULL,1,3,1,7/8/2024 16:27,7/8/2024 16:27
1345,Sustainable Hospitality Management,BSHM121,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1346,Sustainable Tourism,TOUR22,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1347,Swimming and Aquatics,SESS80,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1348,Swine Production and Heath Management,ZOTC65,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1349,Swine Production and Management,ANSC116,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1350,Swine Production Enterprise,AEAP111,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1351,System Analysis and Design,INSY55,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1352,System Integration and Architecture I,ITEC75,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1353,Systematics,GBIO90,NULL,3,2,1,7/8/2024 16:27,7/8/2024 16:27
1354,Systemic Veterinary Pathology,VPTH55,NULL,3,1,1,7/8/2024 16:27,7/8/2024 16:27
1355,Systemic Veterinary Physiology,VPHY55,NULL,3,1,1,7/8/2024 16:27,7/8/2024 16:27
1356,Systems Administration and Maintenance,ITEC110,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1357,Systems Engineering,IENG140,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1358,Taxation,BMGT28,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1359,Taxation (Income and Taxation),BMGT28,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1360,Taxonomy of Higher Vascular Plant,BBOT80,NULL,2,1,1,7/8/2024 16:27,7/8/2024 16:27
1361,Teaching and Assessment of Grammar,BSEE29,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1362,Teaching and Assessment of Literature Study,BSEE27,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1363,Teaching and Assessment of Macroskills,BSEE28,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1364,Teaching Approaches in Secondary Social Studies,BSESS37,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1365,Teaching Arts in Elementary Grades,BEED33,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1366,Teaching English in Elementary Grades(Language Arts),BEED34,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1367,Teaching in Elementary Grades Through Literature,BEED35,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1368,Teaching Internship,EDFS23,NULL,6,0,1,7/8/2024 16:27,7/8/2024 16:27
1369,Teaching Internship with Action Research,EDFS27,NULL,6,0,1,7/8/2024 16:27,7/8/2024 16:27
1370,Teaching Math in Intermediate Grades,BEED28,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1371,Teaching Math in the Primary Grades,BEED27,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1372,Teaching Multi-Grade Classes,SNED34,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1373,Teaching Multi-grade Classes (elective),ELECTIVE,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1374,Teaching Music in Elementary Grades,BEED31,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1375,Teaching P.E. and Health in Elementary Grades,BEED32,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1376,Teaching Science in Intermediate Grades,BEED22,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1377,Teaching Science in the Primary Grades,BEEd21,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1378,Teaching Social Studies in Intermediate Grades,BEED24,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1379,Teaching Social Studies in Primary Grades,BEED23,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1380,"Team Sports (Soccer/Football, Basketball, Volleyball, Baseball, Softball, Non-traditional: Ultimate, Handball, Floorball, Futsal, Sepak Takraw)",BPED135,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
1381,Team Sports I or II,SESS75,NULL,3,0,1,7/8/2024 16:27,7/8/2024 16:27
